,Year,team_x,team_y,pred,proba,team_x_name,team_y_name
0,2017,1112,1116,1,0.8,Arizona,Arkansas
1,2017,1112,1124,1,0.74,Arizona,Baylor
2,2017,1116,1124,0,0.4,Arkansas,Baylor
3,2017,1112,1137,0,0.47,Arizona,Bucknell
4,2017,1116,1137,0,0.46,Arkansas,Bucknell
5,2017,1124,1137,1,0.88,Baylor,Bucknell
6,2017,1112,1139,1,0.73,Arizona,Butler
7,2017,1116,1139,0,0.12,Arkansas,Butler
8,2017,1124,1139,1,0.58,Baylor,Butler
9,2017,1137,1139,1,0.72,Bucknell,Butler
10,2017,1112,1153,1,0.83,Arizona,Cincinnati
11,2017,1116,1153,0,0.4,Arkansas,Cincinnati
12,2017,1124,1153,1,0.8,Baylor,Cincinnati
13,2017,1137,1153,0,0.16,Bucknell,Cincinnati
14,2017,1139,1153,0,0.41,Butler,Cincinnati
15,2017,1112,1166,1,0.85,Arizona,Creighton
16,2017,1116,1166,1,0.64,Arkansas,Creighton
17,2017,1124,1166,1,0.63,Baylor,Creighton
18,2017,1137,1166,0,0.26,Bucknell,Creighton
19,2017,1139,1166,0,0.45,Butler,Creighton
20,2017,1153,1166,1,0.67,Cincinnati,Creighton
21,2017,1112,1173,1,0.61,Arizona,Dayton
22,2017,1116,1173,0,0.4,Arkansas,Dayton
23,2017,1124,1173,0,0.24,Baylor,Dayton
24,2017,1137,1173,0,0.44,Bucknell,Dayton
25,2017,1139,1173,0,0.41,Butler,Dayton
26,2017,1153,1173,1,0.57,Cincinnati,Dayton
27,2017,1166,1173,1,0.81,Creighton,Dayton
28,2017,1112,1181,0,0.49,Arizona,Duke
29,2017,1116,1181,0,0.41,Arkansas,Duke
30,2017,1124,1181,0,0.3,Baylor,Duke
31,2017,1137,1181,0,0.39,Bucknell,Duke
32,2017,1139,1181,0,0.39,Butler,Duke
33,2017,1153,1181,1,0.55,Cincinnati,Duke
34,2017,1166,1181,1,0.76,Creighton,Duke
35,2017,1173,1181,1,0.85,Dayton,Duke
36,2017,1112,1190,1,0.53,Arizona,ETSU
37,2017,1116,1190,1,0.78,Arkansas,ETSU
38,2017,1124,1190,0,0.17,Baylor,ETSU
39,2017,1137,1190,1,0.73,Bucknell,ETSU
40,2017,1139,1190,1,0.65,Butler,ETSU
41,2017,1153,1190,0,0.3,Cincinnati,ETSU
42,2017,1166,1190,1,0.9,Creighton,ETSU
43,2017,1173,1190,0,0.34,Dayton,ETSU
44,2017,1181,1190,1,0.6,Duke,ETSU
45,2017,1112,1195,0,0.34,Arizona,FL Gulf Coast
46,2017,1116,1195,0,0.19,Arkansas,FL Gulf Coast
47,2017,1124,1195,0,0.27,Baylor,FL Gulf Coast
48,2017,1137,1195,0,0.24,Bucknell,FL Gulf Coast
49,2017,1139,1195,0,0.33,Butler,FL Gulf Coast
50,2017,1153,1195,1,0.52,Cincinnati,FL Gulf Coast
51,2017,1166,1195,1,0.93,Creighton,FL Gulf Coast
52,2017,1173,1195,1,0.58,Dayton,FL Gulf Coast
53,2017,1181,1195,1,0.78,Duke,FL Gulf Coast
54,2017,1190,1195,1,0.85,ETSU,FL Gulf Coast
55,2017,1112,1196,1,0.86,Arizona,Florida
56,2017,1116,1196,0,0.24,Arkansas,Florida
57,2017,1124,1196,0,0.39,Baylor,Florida
58,2017,1137,1196,0,0.44,Bucknell,Florida
59,2017,1139,1196,0,0.25,Butler,Florida
60,2017,1153,1196,1,0.52,Cincinnati,Florida
61,2017,1166,1196,1,0.94,Creighton,Florida
62,2017,1173,1196,0,0.26,Dayton,Florida
63,2017,1181,1196,0,0.4,Duke,Florida
64,2017,1190,1196,1,0.88,ETSU,Florida
65,2017,1195,1196,0,0.23,FL Gulf Coast,Florida
66,2017,1112,1199,0,0.38,Arizona,Florida St
67,2017,1116,1199,0,0.45,Arkansas,Florida St
68,2017,1124,1199,0,0.32,Baylor,Florida St
69,2017,1137,1199,0,0.22,Bucknell,Florida St
70,2017,1139,1199,0,0.21,Butler,Florida St
71,2017,1153,1199,1,0.53,Cincinnati,Florida St
72,2017,1166,1199,1,0.57,Creighton,Florida St
73,2017,1173,1199,1,0.71,Dayton,Florida St
74,2017,1181,1199,0,0.33,Duke,Florida St
75,2017,1190,1199,1,0.89,ETSU,Florida St
76,2017,1195,1199,0,0.04,FL Gulf Coast,Florida St
77,2017,1196,1199,0,0.14,Florida,Florida St
78,2017,1112,1211,0,0.46,Arizona,Gonzaga
79,2017,1116,1211,1,0.7,Arkansas,Gonzaga
80,2017,1124,1211,0,0.29,Baylor,Gonzaga
81,2017,1137,1211,1,0.75,Bucknell,Gonzaga
82,2017,1139,1211,1,0.68,Butler,Gonzaga
83,2017,1153,1211,0,0.4,Cincinnati,Gonzaga
84,2017,1166,1211,1,0.84,Creighton,Gonzaga
85,2017,1173,1211,0,0.43,Dayton,Gonzaga
86,2017,1181,1211,0,0.21,Duke,Gonzaga
87,2017,1190,1211,1,0.86,ETSU,Gonzaga
88,2017,1195,1211,0,0.19,FL Gulf Coast,Gonzaga
89,2017,1196,1211,1,0.72,Florida,Gonzaga
90,2017,1199,1211,0,0.47,Florida St,Gonzaga
91,2017,1112,1233,0,0.1,Arizona,Iona
92,2017,1116,1233,0,0.24,Arkansas,Iona
93,2017,1124,1233,1,0.51,Baylor,Iona
94,2017,1137,1233,0,0.16,Bucknell,Iona
95,2017,1139,1233,0,0.43,Butler,Iona
96,2017,1153,1233,1,0.61,Cincinnati,Iona
97,2017,1166,1233,1,0.63,Creighton,Iona
98,2017,1173,1233,1,0.6,Dayton,Iona
99,2017,1181,1233,1,0.81,Duke,Iona
100,2017,1190,1233,1,0.83,ETSU,Iona
101,2017,1195,1233,0,0.16,FL Gulf Coast,Iona
102,2017,1196,1233,0,0.42,Florida,Iona
103,2017,1199,1233,0,0.36,Florida St,Iona
104,2017,1211,1233,1,0.8,Gonzaga,Iona
105,2017,1112,1235,0,0.37,Arizona,Iowa St
106,2017,1116,1235,0,0.21,Arkansas,Iowa St
107,2017,1124,1235,0,0.29,Baylor,Iowa St
108,2017,1137,1235,0,0.21,Bucknell,Iowa St
109,2017,1139,1235,0,0.29,Butler,Iowa St
110,2017,1153,1235,1,0.55,Cincinnati,Iowa St
111,2017,1166,1235,1,0.88,Creighton,Iowa St
112,2017,1173,1235,1,0.77,Dayton,Iowa St
113,2017,1181,1235,0,0.47,Duke,Iowa St
114,2017,1190,1235,1,0.88,ETSU,Iowa St
115,2017,1195,1235,0,0.13,FL Gulf Coast,Iowa St
116,2017,1196,1235,0,0.26,Florida,Iowa St
117,2017,1199,1235,1,0.56,Florida St,Iowa St
118,2017,1211,1235,0,0.09,Gonzaga,Iowa St
119,2017,1233,1235,1,0.58,Iona,Iowa St
120,2017,1112,1240,1,0.56,Arizona,Jacksonville St
121,2017,1116,1240,0,0.12,Arkansas,Jacksonville St
122,2017,1124,1240,0,0.25,Baylor,Jacksonville St
123,2017,1137,1240,1,0.78,Bucknell,Jacksonville St
124,2017,1139,1240,1,0.78,Butler,Jacksonville St
125,2017,1153,1240,0,0.42,Cincinnati,Jacksonville St
126,2017,1166,1240,1,0.89,Creighton,Jacksonville St
127,2017,1173,1240,1,0.86,Dayton,Jacksonville St
128,2017,1181,1240,0,0.24,Duke,Jacksonville St
129,2017,1190,1240,1,0.85,ETSU,Jacksonville St
130,2017,1195,1240,1,0.78,FL Gulf Coast,Jacksonville St
131,2017,1196,1240,1,0.76,Florida,Jacksonville St
132,2017,1199,1240,1,0.8,Florida St,Jacksonville St
133,2017,1211,1240,0,0.49,Gonzaga,Jacksonville St
134,2017,1233,1240,1,0.54,Iona,Jacksonville St
135,2017,1235,1240,1,0.54,Iowa St,Jacksonville St
136,2017,1112,1242,1,0.59,Arizona,Kansas
137,2017,1116,1242,0,0.26,Arkansas,Kansas
138,2017,1124,1242,0,0.32,Baylor,Kansas
139,2017,1137,1242,0,0.4,Bucknell,Kansas
140,2017,1139,1242,1,0.55,Butler,Kansas
141,2017,1153,1242,1,0.59,Cincinnati,Kansas
142,2017,1166,1242,1,0.72,Creighton,Kansas
143,2017,1173,1242,1,0.59,Dayton,Kansas
144,2017,1181,1242,1,0.85,Duke,Kansas
145,2017,1190,1242,1,0.83,ETSU,Kansas
146,2017,1195,1242,1,0.71,FL Gulf Coast,Kansas
147,2017,1196,1242,1,0.6,Florida,Kansas
148,2017,1199,1242,0,0.5,Florida St,Kansas
149,2017,1211,1242,0,0.08,Gonzaga,Kansas
150,2017,1233,1242,0,0.5,Iona,Kansas
151,2017,1235,1242,1,0.69,Iowa St,Kansas
152,2017,1240,1242,0,0.34,Jacksonville St,Kansas
153,2017,1112,1243,1,0.54,Arizona,Kansas St
154,2017,1116,1243,0,0.45,Arkansas,Kansas St
155,2017,1124,1243,0,0.27,Baylor,Kansas St
156,2017,1137,1243,0,0.5,Bucknell,Kansas St
157,2017,1139,1243,0,0.38,Butler,Kansas St
158,2017,1153,1243,1,0.53,Cincinnati,Kansas St
159,2017,1166,1243,1,0.91,Creighton,Kansas St
160,2017,1173,1243,1,0.63,Dayton,Kansas St
161,2017,1181,1243,1,0.62,Duke,Kansas St
162,2017,1190,1243,0,0.45,ETSU,Kansas St
163,2017,1195,1243,1,0.85,FL Gulf Coast,Kansas St
164,2017,1196,1243,0,0.46,Florida,Kansas St
165,2017,1199,1243,1,0.51,Florida St,Kansas St
166,2017,1211,1243,1,0.7,Gonzaga,Kansas St
167,2017,1233,1243,0,0.47,Iona,Kansas St
168,2017,1235,1243,1,0.54,Iowa St,Kansas St
169,2017,1240,1243,0,0.21,Jacksonville St,Kansas St
170,2017,1242,1243,1,0.79,Kansas,Kansas St
171,2017,1112,1245,0,0.4,Arizona,Kent
172,2017,1116,1245,0,0.36,Arkansas,Kent
173,2017,1124,1245,1,0.62,Baylor,Kent
174,2017,1137,1245,0,0.11,Bucknell,Kent
175,2017,1139,1245,1,0.84,Butler,Kent
176,2017,1153,1245,1,0.66,Cincinnati,Kent
177,2017,1166,1245,1,0.92,Creighton,Kent
178,2017,1173,1245,1,0.67,Dayton,Kent
179,2017,1181,1245,0,0.4,Duke,Kent
180,2017,1190,1245,1,0.81,ETSU,Kent
181,2017,1195,1245,1,0.54,FL Gulf Coast,Kent
182,2017,1196,1245,0,0.5,Florida,Kent
183,2017,1199,1245,0,0.39,Florida St,Kent
184,2017,1211,1245,0,0.2,Gonzaga,Kent
185,2017,1233,1245,1,0.51,Iona,Kent
186,2017,1235,1245,1,0.76,Iowa St,Kent
187,2017,1240,1245,1,0.84,Jacksonville St,Kent
188,2017,1242,1245,1,0.55,Kansas,Kent
189,2017,1243,1245,0,0.18,Kansas St,Kent
190,2017,1112,1246,1,0.58,Arizona,Kentucky
191,2017,1116,1246,0,0.34,Arkansas,Kentucky
192,2017,1124,1246,0,0.05,Baylor,Kentucky
193,2017,1137,1246,0,0.33,Bucknell,Kentucky
194,2017,1139,1246,1,0.56,Butler,Kentucky
195,2017,1153,1246,0,0.28,Cincinnati,Kentucky
196,2017,1166,1246,1,0.87,Creighton,Kentucky
197,2017,1173,1246,1,0.65,Dayton,Kentucky
198,2017,1181,1246,0,0.48,Duke,Kentucky
199,2017,1190,1246,1,0.55,ETSU,Kentucky
200,2017,1195,1246,1,0.73,FL Gulf Coast,Kentucky
201,2017,1196,1246,0,0.37,Florida,Kentucky
202,2017,1199,1246,0,0.39,Florida St,Kentucky
203,2017,1211,1246,0,0.21,Gonzaga,Kentucky
204,2017,1233,1246,1,0.54,Iona,Kentucky
205,2017,1235,1246,0,0.42,Iowa St,Kentucky
206,2017,1240,1246,0,0.26,Jacksonville St,Kentucky
207,2017,1242,1246,1,0.59,Kansas,Kentucky
208,2017,1243,1246,0,0.1,Kansas St,Kentucky
209,2017,1245,1246,0,0.47,Kent,Kentucky
210,2017,1112,1257,0,0.46,Arizona,Louisville
211,2017,1116,1257,1,0.57,Arkansas,Louisville
212,2017,1124,1257,0,0.29,Baylor,Louisville
213,2017,1137,1257,1,0.73,Bucknell,Louisville
214,2017,1139,1257,1,0.69,Butler,Louisville
215,2017,1153,1257,0,0.39,Cincinnati,Louisville
216,2017,1166,1257,1,0.94,Creighton,Louisville
