Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,All_Rookie,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
2009,NBA,1,7,GSW,Stephen Curry,21.108,G,us,Davidson College,2010,2017,1,574,34.7,22.8,4.4,6.8,1.8,0.2,0.476,0.507,0.438,0.901,84.2,0.203
2009,NBA,1,1,LAC,Blake Griffin,20.106,F,us,University of Oklahoma,2011,2017,1,471,35.2,21.5,9.4,4.1,1,0.6,0.518,0.526,0.299,0.673,62.4,0.181
2011,NBA,1,15,IND,Kawhi Leonard,19.364,F,us,San Diego State University,2012,2017,1,398,30.5,16.4,6.2,2.3,1.8,0.7,0.495,0.537,0.388,0.847,55.4,0.219
2012,NBA,1,1,NOH,Anthony Davis,19.114,F-C,us,University of Kentucky,2013,2017,1,335,34.4,22.4,10.2,1.8,1.3,2.4,0.513,0.524,0.29,0.787,48.8,0.203
2012,NBA,1,6,POR,Damian Lillard,21.354,G,us,Weber State University,2013,2017,1,396,36.4,22.4,4,6.2,0.9,0.3,0.43,0.472,0.37,0.877,45.5,0.152
2010,NBA,1,1,WAS,John Wall,19.296,G,us,University of Kentucky,2011,2017,1,500,36.1,18.8,4.4,9.2,1.7,0.6,0.433,0.456,0.321,0.791,40.5,0.108
2011,NBA,1,1,CLE,Kyrie Irving,19.096,G,au,Duke University,2012,2017,1,381,34.2,21.6,3.4,5.5,1.3,0.3,0.457,0.486,0.383,0.873,40.4,0.149
2009,NBA,1,26,CHI,Taj Gibson,24.007,F,us,University of Southern California,2010,2017,1,585,25.1,9.4,6.3,1,0.5,1.2,0.495,0.498,0.114,0.694,37.6,0.123
2010,NBA,1,5,SAC,DeMarcus Cousins,19.32,C-F,us,University of Kentucky,2011,2017,1,487,32,21.2,10.8,3,1.4,1.2,0.459,0.47,0.33,0.736,36.9,0.114
2011,NBA,1,11,GSW,Klay Thompson,21.14,G,us,Washington State University,2012,2017,1,464,32.7,19.1,3.3,2.3,0.9,0.5,0.453,0.48,0.419,0.853,36.6,0.116
2009,NBA,1,21,NOH,Darren Collison,21.312,G,us,"University of California, Los Angeles",2010,2017,1,563,29.5,12.7,2.6,4.8,1.1,0.1,0.469,0.494,0.38,0.852,35.5,0.102
2011,NBA,1,22,DEN,Kenneth Faried,21.221,F,us,Morehead State University,2012,2017,1,409,25.8,11.9,8.5,1.1,0.8,0.9,0.545,0.547,0.105,0.653,34.6,0.158
