,Rk,Player,Class,Season,Pos,School,Conf,G,MP,MP.1,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,PProd,ORtg,DRtg,OWS,DWS,WS,OBPM,DBPM,BPM
0,1,Anthony Davis,FR,2011-12,F,Kentucky,SEC,40,1281,32.0,5.3,8.4,5.2,7.9,0.1,0.5,3.6,5.1,3.0,7.4,10.4,1.3,1.4,4.7,1.0,2.0,14.2,35.1,.654,.628,11.6,25.6,19.0,7.5,2.5,13.7,8.6,18.8,550,139.0,80.7,5.9,4.1,9.9,7.8,10.8,18.7
1,2,Karl-Anthony Towns,FR,2014-15,F,Kentucky,SEC,39,822,21.1,3.7,6.6,3.7,6.4,0.1,0.2,2.8,3.4,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,31.4,.627,.570,14.2,22.3,18.5,11.6,1.4,11.5,14.2,23.7,391,126.8,78.1,3.5,2.9,6.4,6.5,10.8,17.3
2,3,Victor Oladipo,JR,2012-13,G,Indiana,Big Ten,36,1021,28.4,5.1,8.4,4.2,6.6,0.8,1.9,2.7,3.6,2.6,3.7,6.3,2.1,2.2,0.8,2.3,2.5,13.6,28.9,.671,.648,11.8,15.1,13.5,15.2,4.6,2.8,18.5,22.2,478,125.7,87.3,4.2,2.6,6.7,9.7,7.3,17.0
3,4,Denzel Valentine,SR,2015-16,G,Michigan State,Big Ten,31,1022,33.0,6.6,14.3,3.3,6.8,3.4,7.5,2.6,3.1,0.8,6.7,7.5,7.8,1.0,0.2,2.7,1.7,19.2,29.7,.608,.579,3.0,21.2,12.8,45.8,1.9,0.7,14.8,28.4,622,127.2,94.0,5.0,2.2,7.3,12.2,4.4,16.5
4,5,Sindarius Thornwell,SR,2016-17,G,South Carolina,SEC,31,1051,33.9,6.3,14.1,4.4,9.4,1.9,4.7,6.9,8.4,2.5,4.6,7.2,2.8,2.1,1.0,2.5,2.3,21.4,30.3,.591,.511,8.1,16.1,12.0,19.3,3.6,3.4,11.9,29.5,637,122.1,88.8,4.4,2.8,7.2,9.5,6.7,16.2
5,6,Delon Wright,SR,2014-15,G,Utah,Pac-12,35,1165,33.3,4.7,9.3,4.0,7.2,0.7,2.1,4.4,5.2,1.0,4.0,4.9,5.1,2.1,1.0,1.9,1.4,14.5,29.2,.619,.549,4.0,13.7,9.3,33.0,4.0,3.2,14.2,22.8,558,129.8,87.7,5.3,3.1,8.4,8.8,7.4,16.2
6,7,Ethan Happ,SO,2016-17,F,Wisconsin,Big Ten,37,1033,27.9,5.9,10.0,5.9,10.0,0.0,0.0,2.2,4.4,3.2,5.8,9.0,2.8,1.8,1.2,2.2,2.8,14.0,31.5,.577,.588,13.3,25.2,19.1,23.3,4.0,4.7,15.2,26.6,534,116.5,86.5,3.4,3.0,6.4,6.5,9.3,15.8
7,8,Frank Kaminsky,SR,2014-15,C,Wisconsin,Big Ten,39,1311,33.6,6.8,12.5,5.8,9.9,1.1,2.6,4.0,5.1,1.5,6.7,8.2,2.6,0.8,1.5,1.6,1.7,18.8,34.4,.628,.590,6.0,25.7,16.1,18.4,1.7,4.5,9.8,28.6,691,129.6,92.6,6.9,2.9,9.8,9.5,5.8,15.3
8,9,Gorgui Dieng,JR,2012-13,C,Louisville,Big East,33,1026,31.1,3.8,7.1,3.8,7.1,0.0,0.0,2.2,3.4,3.4,6.0,9.4,2.0,1.3,2.5,1.8,2.6,9.8,23.8,.562,.534,12.9,23.6,18.1,12.3,2.6,9.4,17.0,17.0,352,115.9,81.9,2.5,3.2,5.6,4.0,11.0,15.0
9,10,Willie Cauley-Stein,SO,2013-14,F,Kentucky,SEC,37,880,23.8,2.9,4.8,2.9,4.8,0.0,0.0,1.1,2.2,2.5,3.5,6.1,0.7,1.2,2.9,0.8,2.6,6.8,23.6,.580,.596,12.6,16.3,14.5,5.7,3.0,12.3,12.5,14.1,260,122.8,91.5,1.9,2.2,4.1,4.1,10.8,14.9
